modelos,normalizado
AF115F FINO,FINO115
CZD300-A (X-MAX300),XMAX300
CZD300-A XMAX,XMAX300
FZ15N (FZ),FZ150
FZ15S (FAZER),FAZER150
FZ16 ST FAZER,FAZER150
FZN 150A,FZ150
FZN150D,FZ150
FZN150D-6 (FZ-S),FZ150
FZN250-A,FZ250
GDR155-A,GDR155
GPD150,NMAX150
GPD150 (NMAX),NMAX150
GPD150-A (NMAX),NMAX150
GPD155-A (NMAX155),NMAX150
MT09TRA,MT09
MT10SP,MT10
MTM850 (XSR900),XSR900
MTN1000 (MT10),MT10
MTN155-A,MT150
MTN320-A (MT03),MT03
MTN690 (MT07),MT07
MTN890 (MT09),MT09
MTN890D (MT09SP),MT09
MTT850D (MT09TRAGT),MT09
MTT890D (MT09 TRACER GT),MT09
MW125 (TRICITY),TRICITY
SZ15RR,SZ150
SZ16R,SZ150
T115,CRYPTON 115
T115FI,CRYPTON 115
TTR50E,TTR50
XJ6N,XJ6
XP560D (TMAX TECH MAX),TMAX
XSR900,TMAX
XT1200 ZE,TENERE 1200
XT1200Z,TENERE 1200
XT660R,XT660
XTZ125,XTZ150
XTZ150-2 (XTZ150),XTZ150
XTZ250,XTZ250
XTZ250Z,XTZ250
XTZ690 (TENERE 700),TENERE 700
XVS950CU/ABS,XV 950
YB125ZR,SZ150
YBR125ED,SZ150
YBR125ED (LIBERO125),LIBERO 125
YBR125ESD,LIBERO 125
YC110D,YCZ110
YC110D (YC-Z),YCZ110
YFM350A,GRIZZLY 350
YW125,BWIS125
YW125 BWS125,BWIS125
YW125FI,CRYPTON125
YW125X,CRYPTON125
YW125X BWS125X,BWIS125
YW125XFI,BWIS125
YZ125,YZ125
YZ65,YZ65
YZF-R1,R1
YZF-R3,R3
YZF-R6,R6
YZF155 (YZF-R15),R15
YZF155-A (YZF-R15),R15
YZF690 (YZF-R7),R7
